ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,Public Contact Name,Public Contact Email,Public Contact Phone,Location 1
"AAMC Collaborative Care Network, LLC","2001 Medical Parkway, Annapolis, Maryland 21401",MD,http://www.aahs.org/aamssp/,Dr. Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190,"2001 Medical Parkway
Annapolis, Maryland 21401
(38.989104498000074, -76.53618365899996)"
"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",CA,http://www.cmhshealth.org/aco,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,"147 North Brent Street
Ventura, California 93003
(34.27465318000003, -119.25734132399998)"
"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","CT, IL, IA, MA, NY, OH, PA",http://ACCSfirst.com,Jean Brodowski,jbrodowski@acafirst.com,(413) 734-2000 ext.2512,Gail Kowalewski,gkowalewski@acafirst.com,(413) 734-2000 ext.2592,"One Monarch Place
Springfield, MA 01144
(42.10150383600006, -72.59184032799999)"
"Accountable Care Coalition of Central Georgia, LLC.","120 B Osigian Blvd., Suite 100, Warner Robins, Georgia 31088",GA,http://www.acccentralgeorgia.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"120 B Osigian Blvd
Warner Robins, Georgia 31088
(32.61377683200004, -83.68393837199994)"
"Accountable Care Coalition of Coastal Georgia, LLC","555 West Granada Boulevard, Suite B-3, Ormond Beach, Florida 32174","GA, SC",http://www.acccoastalgeorgia.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"555 West Granada Boulevard
Ormond Beach, Florida 32174
(29.279866414000026, -81.07090172999995)"
"Accountable Care Coalition of DeKalb, LLC.","250 E Ponce De Leon Ave., Suite 434, Decatur, Georgia 30030",GA,http://www.accdekalb.com/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"250 E Ponce De Leon Ave
Decatur, Georgia 30030
(33.77559762100003, -84.29331083099999)"
"Accountable Care Coalition of Eastern North Carolina, LLC","1209 Arendell Street, Morehead City, North Carolina 28557",NC,http://www.acceasternnc.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"1209 Arendell Street
Morehead City, SOUTH CAROLINA 28557
(34.72171009700003, -76.71853798999996)"
"Accountable Care Coalition of Georgia, LLC.","315 W. Ponce De Leon Avenue, Suite 1000, Decatur, Georgia 30030",GA,http://www.accgeorgia.net/,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"315 W Ponce De Leon Avenue
Decatur, Georgia 30030
(33.77564832100006, -84.30032937999994)"
"Accountable Care Coalition of Greater Augusta & Statesboro, LLC.","414 N. Westover Blvd., Suite B, Albany, Georgia 31707","GA, SC",http://www.ACCGreaterAS.com,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,Jim Korry,jkorry@universalamerican.com,(713) 770-1121,"414 N Westover Blvd
Albany, Georgia 31707
(31.602492062000067, -84.22018126599994)"
"Accountable Care Coalition of Greater Houston, LLC.","22698 Professional Drive, Suite 100A, Kingwood, Texas 77339",TX,http://www.ACCGreaterHouston.com,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,Jim Korry,JKorry@universalamerican.com,(713) 770-1121,"22698 Professional Drive
Kingwood, Texas 77339
(30.047432443000048, -95.25786918299997)"
