"ACO Name (LBN or DBA, if applicable) ",States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model ,Total Assigned Beneficiaries,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Comp-osite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Comp-osite,ACO-32,ACO-33
"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C",Nevada,01/01/2013,Track1 ,No ,5921,$70912015,$67555873,$3356142,4.7%,$3356142,$1644510,Yes,75.6,93.09,92.18,82.91,58.06,76.36,71.33,14.88,0.67,1.14,75,72.5,1.24,25.83,22.4,31.19,64.08,0,39.41,38.12,75.48,17.76,60.28,50,58.18,53.04,28.21,32.94,61.25,13.08,27.36,,37.5,52.31,29.74
AAMC Collaborative Care Network,Maryland,01/01/2013,Track1 ,No ,10485,$92961659,$96240231,$-3278573,-3.5%,,,Yes,84.67,94.39,93.32,83.13,59.23,71.51,73.72,15.1,1.12,1.8,82.5,97.74,68.86,71.26,66.9,69.21,82.89,57.58,74.94,63.59,63.12,29.25,72.88,59.91,70.05,87.5,65.35,17.22,68.61,74.52,93.33,88.89,67.31,90.31,40.66
"Accountable Care Clinical Services, PC","Iowa, Pennsylvania, Connecticut, Massachusetts, California",01/01/2013,Track1 ,No ,19637,$211247324,$200721155,$10526169,5%,$10526169,$5157823,Yes,82.78,93.55,92.02,84.84,59.5,76.38,72.12,15.08,1.47,1.31,62.76,46.4,19.15,59.57,57.06,50.65,84.48,13.18,61.69,55.06,58.75,24.17,73.96,54.17,67.5,73.13,81.1,18.75,66.45,55.14,82.72,75,69.78,77.44,77.59
"Accountable Care Coalition of Caldwell County, LLC",North Carolina,04/01/2012,Track1 ,No ,5915,$70881173,$71400316,$-519143,-0.7%,,,Yes,80.56,92.18,91.69,89.35,51.92,74.85,69.99,14.26,0.81,0.8,47.37,59.34,9.32,45.02,35.92,41.97,59.23,3.41,51.71,63.66,77.14,2.6,57.14,43.9,57.92,13.51,72.54,35.32,50.61,32.11,71.32,75,48.17,54.09,66.31
"Accountable Care Coalition of Central Georgia, LLC.",Georgia,01/01/2013,Track1 ,No ,10589,$106323535,$107639420,$-1315885,-1.2%,,,Yes,83.09,92.72,92.24,86.74,52.24,67.97,68.83,15.37,1.55,1.39,55.56,24.49,15.1,33.4,21.86,39.72,64.93,5.2,48.25,36.34,81.23,0.79,37.89,23.16,55.79,10.79,73.38,57.11,55.88,20.22,53.01,79.55,28.12,34.84,57.56
"Accountable Care Coalition of Coastal Georgia, LLC","South Carolina, Georgia",04/01/2012,Track1 ,No ,10475,$146133176,$146775276,$-642100,-0.4%,,,Yes,76.9,92.89,91.88,86.64,55.2,74.24,69.77,14.17,1.02,1.04,90.32,25.4,27.52,48.09,48.53,51.59,84.54,16.01,58.03,68.69,89.69,4.11,64.01,58.21,68.36,13.04,62.84,28.26,71.33,50.48,75.6,80.77,52.66,66.67,50.27
"Accountable Care Coalition of DeKalb, LLC.",Georgia,01/01/2013,Track2 ,No ,18446,$154953182,$151981618,$2971564,1.9%,,,Yes,84.51,93.94,92.4,84.02,57.15,70.73,72.17,14.75,1.18,1.47,52.38,45.6,10.27,41.74,29.77,48.39,74.42,4.65,49.55,47.72,92.06,1.25,59.25,42.2,62.99,7.07,65.93,35.14,62.69,30.72,64.33,85.86,39.65,47.39,67.08
"Accountable Care Coalition of Eastern North Carolina, LLC",North Carolina,04/01/2012,Track1 ,No ,10205,$118613931,$126553616,$-7939686,-6.7%,,,Yes,82.16,92.8,91.13,86.06,55.33,75.84,72.11,14.6,0.59,1.03,37.04,52.46,7.12,52.89,37.35,40.54,52.23,3,53.87,52.63,83.96,1.46,56.59,42.44,53.66,9.76,70.73,33.66,57.67,35.29,55.88,61.9,43.65,55.8,50
"Accountable Care Coalition of Georgia, LLC.",Georgia,01/01/2013,Track1 ,No ,10569,$86425295,$84646537,$1778758,2.1%,,,Yes,73.86,92.98,89.1,84.68,55.67,72.98,70.3,14.96,1.96,1.27,,63.25,16.74,29.66,29.69,46.63,78.05,34.05,39.89,56.26,83.61,3.13,55.53,37.02,58.65,20.67,68.47,33.89,56.59,34.69,71.43,82.14,48.13,56.74,67.47
"Accountable Care Coalition of Greater Athens Georgia II, LLC.",Georgia,01/01/2013,Track1 ,No ,10525,$98178893,$95886490,$2292403,2.3%,,,Yes,76.47,91.61,91.59,85.33,50.54,71.77,71.61,14.66,1.17,1.14,70.97,45.45,20.04,44.65,38.72,40.53,71.34,4.17,42.15,42.75,86.8,3.19,56.38,45.48,63.56,13.83,65.03,39.89,62.16,51.26,69.11,92.5,50.71,62.09,58.05
